person,film,role
Kirsten Dunst,"('The Two Faces of January', 2014)",actor
Oscar Isaac,"('The Two Faces of January', 2014)",actor
Daisy Bevan,"('The Two Faces of January', 2014)",actor
Hossein Amini,"('The Two Faces of January', 2014)",director
Jackie Chan,"('Shanghai Knights', 2003)",actor
Owen Wilson,"('Shanghai Knights', 2003)",actor
Fann Wong,"('Shanghai Knights', 2003)",actor
Aaron Taylor-Johnson,"('Shanghai Knights', 2003)",actor
David Dobkin,"('Shanghai Knights', 2003)",director
Richard Gere,"('Shall We Dance', 2004)",actor
Jennifer Lopez,"('Shall We Dance', 2004)",actor
Susan Sarandon,"('Shall We Dance', 2004)",actor
Stanley Tucci,"('Shall We Dance', 2004)",actor
Peter Chelsom,"('Shall We Dance', 2004)",director
Julianne Moore,"('Maps to the Stars', 2014)",actor
Mia Wasikowska,"('Maps to the Stars', 2014)",actor
Robert Pattinson,"('Maps to the Stars', 2014)",actor
John Cusack,"('Maps to the Stars', 2014)",actor
David Cronenberg,"('Maps to the Stars', 2014)",director
Samaire Armstrong,"(""It's a Boy Girl Thing"", 2006)",actor
Kevin Zegers,"(""It's a Boy Girl Thing"", 2006)",actor
Sherry Miller,"(""It's a Boy Girl Thing"", 2006)",actor
Robert Joy,"(""It's a Boy Girl Thing"", 2006)",actor
Nick Hurran,"(""It's a Boy Girl Thing"", 2006)",director
Sharni Vinson,"('Step Up 3D', 2010)",actor
Rick Malambri,"('Step Up 3D', 2010)",actor
Adam Sevani,"('Step Up 3D', 2010)",actor
Alyson Stoner,"('Step Up 3D', 2010)",actor
Jon M. Chu,"('Step Up 3D', 2010)",director
Gary Oldman,"('Crisis', 2021)",actor
Armie Hammer,"('Crisis', 2021)",actor
Evangeline Lilly,"('Crisis', 2021)",actor
Greg Kinnear,"('Crisis', 2021)",actor
Nicholas Jarecki,"('Crisis', 2021)",director
Ben Affleck,"('Jersey Girl', 2004)",actor
Liv Tyler,"('Jersey Girl', 2004)",actor
Raquel Castro,"('Jersey Girl', 2004)",actor
Betty Aberlin,"('Jersey Girl', 2004)",actor
Kevin Smith,"('Jersey Girl', 2004)",director
Jessalyn Gilsig,"('Quest for Camelot', 1998)",actor
Cary Elwes,"('Quest for Camelot', 1998)",actor
Andrea Corr,"('Quest for Camelot', 1998)",actor
Bryan White,"('Quest for Camelot', 1998)",actor
Frederik Du Chau,"('Quest for Camelot', 1998)",director
Nas,"('Belly', 1998)",actor
Dmx,"('Belly', 1998)",actor
Taral Hicks,"('Belly', 1998)",actor
Tionne 'T-Boz' Watkins,"('Belly', 1998)",actor
Hype Williams,"('Belly', 1998)",director
Ewan Mcgregor,"('Nightwatch', 1997)",actor
Nick Nolte,"('Nightwatch', 1997)",actor
Anais Evans,"('Nightwatch', 1997)",actor
Erich Anderson,"('Nightwatch', 1997)",actor
Ole Bornedal,"('Nightwatch', 1997)",director
Mary Beth Hurt,"('D.A.R.Y.L.', 1985)",actor
Michael Mckean,"('D.A.R.Y.L.', 1985)",actor
Kathryn Walker,"('D.A.R.Y.L.', 1985)",actor
Colleen Camp,"('D.A.R.Y.L.', 1985)",actor
Simon Wincer,"('D.A.R.Y.L.', 1985)",director
Aaron Abrams,"('YPF', 2007)",actor
Carly Pope,"('YPF', 2007)",actor
Kristin Booth,"('YPF', 2007)",actor
Josh Dean,"('YPF', 2007)",actor
Martin Gero,"('YPF', 2007)",director
Steve Carell,"('Welcome to Marwen', 2018)",actor
Falk Hentschel,"('Welcome to Marwen', 2018)",actor
Matt O'Leary,"('Welcome to Marwen', 2018)",actor
Nikolai Witschl,"('Welcome to Marwen', 2018)",actor
Robert Zemeckis,"('Welcome to Marwen', 2018)",director
Stephen Lang,"('Gods and Generals', 2003)",actor
Robert Duvall,"('Gods and Generals', 2003)",actor
Jeff Daniels,"('Gods and Generals', 2003)",actor
Donzaleigh Abernathy,"('Gods and Generals', 2003)",actor
Ron Maxwell,"('Gods and Generals', 2003)",director
Goldie Hawn,"('Private Benjamin', 1980)",actor
Eileen Brennan,"('Private Benjamin', 1980)",actor
Armand Assante,"('Private Benjamin', 1980)",actor
Robert Webber,"('Private Benjamin', 1980)",actor
Howard Zieff,"('Private Benjamin', 1980)",director
Jodi Benson,"('Thumbelina', 1994)",actor
Gary Imhoff,"('Thumbelina', 1994)",actor
Gino Conforti,"('Thumbelina', 1994)",actor
Barbara Cook,"('Thumbelina', 1994)",actor
Don Bluth,"('Thumbelina', 1994)",director
Gary Goldman,"('Thumbelina', 1994)",director
Anthony Hopkins,"('The Human Stain', 2003)",actor
Nicole Kidman,"('The Human Stain', 2003)",actor
Ed Harris,"('The Human Stain', 2003)",actor
Gary Sinise,"('The Human Stain', 2003)",actor
Robert Benton,"('The Human Stain', 2003)",director
Owen Wilson,"('The Big Year', 2011)",actor
Jack Black,"('The Big Year', 2011)",actor
Steve Martin,"('The Big Year', 2011)",actor
John Cleese,"('The Big Year', 2011)",actor
David Frankel,"('The Big Year', 2011)",director
Paul Rudd,"('The Catcher Was a Spy', 2018)",actor
Pierfrancesco Favino,"('The Catcher Was a Spy', 2018)",actor
Tom Wilkinson,"('The Catcher Was a Spy', 2018)",actor
Connie Nielsen,"('The Catcher Was a Spy', 2018)",actor
Ben Lewin,"('The Catcher Was a Spy', 2018)",director
Emilio Estevez,"('Loaded Weapon 1', 1993)",actor
Samuel L. Jackson,"('Loaded Weapon 1', 1993)",actor
Jon Lovitz,"('Loaded Weapon 1', 1993)",actor
Tim Curry,"('Loaded Weapon 1', 1993)",actor
Gene Quintano,"('Loaded Weapon 1', 1993)",director
Christopher George,"('City of the Living Dead', 1980)",actor
Catriona Maccoll,"('City of the Living Dead', 1980)",actor
Carlo De Mejo,"('City of the Living Dead', 1980)",actor
Antonella Interlenghi,"('City of the Living Dead', 1980)",actor
Lucio Fulci,"('City of the Living Dead', 1980)",director
Freddie Highmore,"('Astro Boy', 2009)",actor
Nicolas Cage,"('Astro Boy', 2009)",actor
Kristen Bell,"('Astro Boy', 2009)",actor
Charlize Theron,"('Astro Boy', 2009)",actor
David Bowers,"('Astro Boy', 2009)",director
Mamoudou Athie,"('Black Box', 2020)",actor
Phylicia Rashad,"('Black Box', 2020)",actor
Amanda Christine,"('Black Box', 2020)",actor
Tosin Morohunfola,"('Black Box', 2020)",actor
Emmanuel Osei-Kuffour,"('Black Box', 2020)",director
Jim Cummings,"('The Wolf of Snow Hollow', 2020)",actor
Riki Lindhome,"('The Wolf of Snow Hollow', 2020)",actor
Robert Forster,"('The Wolf of Snow Hollow', 2020)",actor
Chloe East,"('The Wolf of Snow Hollow', 2020)",actor
Jim Cummings,"('The Wolf of Snow Hollow', 2020)",director
Natalie Portman,"(""Mr. Magorium's Wonder Emporium"", 2007)",actor
Dustin Hoffman,"(""Mr. Magorium's Wonder Emporium"", 2007)",actor
Jason Bateman,"(""Mr. Magorium's Wonder Emporium"", 2007)",actor
Ted Ludzik,"(""Mr. Magorium's Wonder Emporium"", 2007)",actor
Zach Helm,"(""Mr. Magorium's Wonder Emporium"", 2007)",director
Denzel Washington,"('Ricochet', 1991)",actor
John Lithgow,"('Ricochet', 1991)",actor
Ice-T,"('Ricochet', 1991)",actor
Kevin Pollak,"('Ricochet', 1991)",actor
Russell Mulcahy,"('Ricochet', 1991)",director
Ben Stiller,"('Greenberg', 2010)",actor
Greta Gerwig,"('Greenberg', 2010)",actor
Jennifer Jason Leigh,"('Greenberg', 2010)",actor
Rhys Ifans,"('Greenberg', 2010)",actor
Noah Baumbach,"('Greenberg', 2010)",director
Ben Foster,"('Galveston', 2018)",actor
Jeffrey Grover,"('Galveston', 2018)",actor
Christopher Amitrano,"('Galveston', 2018)",actor
Mark Hicks,"('Galveston', 2018)",actor
Melanie Laurent,"('Galveston', 2018)",director
Steve Carell,"('Alexander and the Terrible, Horrible, No Good, Very Bad Day', 2014)",actor
Jennifer Garner,"('Alexander and the Terrible, Horrible, No Good, Very Bad Day', 2014)",actor
Ed Oxenbould,"('Alexander and the Terrible, Horrible, No Good, Very Bad Day', 2014)",actor
Dylan Minnette,"('Alexander and the Terrible, Horrible, No Good, Very Bad Day', 2014)",actor
Miguel Arteta,"('Alexander and the Terrible, Horrible, No Good, Very Bad Day', 2014)",director
Rosanna Arquette,"('Amazon Women on the Moon', 1987)",actor
Michelle Pfeiffer,"('Amazon Women on the Moon', 1987)",actor
Arsenio Hall,"('Amazon Women on the Moon', 1987)",actor
Donald F. Muhich,"('Amazon Women on the Moon', 1987)",actor
Joe Dante,"('Amazon Women on the Moon', 1987)",director
Carl Gottlieb,"('Amazon Women on the Moon', 1987)",director
Peter Horton,"('Amazon Women on the Moon', 1987)",director
John Landis,"('Amazon Women on the Moon', 1987)",director
Robert K. Weiss,"('Amazon Women on the Moon', 1987)",director
Christina Ricci,"('Prozac Nation', 2001)",actor
Jonathan Rhys Meyers,"('Prozac Nation', 2001)",actor
Jessica Lange,"('Prozac Nation', 2001)",actor
Anne Heche,"('Prozac Nation', 2001)",actor
Erik Skjoldbjærg,"('Prozac Nation', 2001)",director
Tom Hanks,"('The Ladykillers', 2004)",actor
Marlon Wayans,"('The Ladykillers', 2004)",actor
Irma P. Hall,"('The Ladykillers', 2004)",actor
J.K. Simmons,"('The Ladykillers', 2004)",actor
Ethan Coen,"('The Ladykillers', 2004)",director
Joel Coen,"('The Ladykillers', 2004)",director
Justin Timberlake,"('Wonder Wheel', 2017)",actor
Juno Temple,"('Wonder Wheel', 2017)",actor
Robert C. Kirk,"('Wonder Wheel', 2017)",actor
Kate Winslet,"('Wonder Wheel', 2017)",actor
Woody Allen,"('Wonder Wheel', 2017)",director
Kirsten Dunst,"('Dick', 1999)",actor
Michelle Williams,"('Dick', 1999)",actor
Dan Hedaya,"('Dick', 1999)",actor
Will Ferrell,"('Dick', 1999)",actor
Andrew Fleming,"('Dick', 1999)",director
Keiynan Lonsdale,"('Work It', 2020)",actor
Liza Koshy,"('Work It', 2020)",actor
Briana Andrade-Gomes,"('Work It', 2020)",actor
Kalliane Bremault,"('Work It', 2020)",actor
Laura Terruso,"('Work It', 2020)",director
Vincent Cassel,"('One Wild Moment', 2015)",actor
Francois Cluzet,"('One Wild Moment', 2015)",actor
Lola Le Lann,"('One Wild Moment', 2015)",actor
Alice Isaaz,"('One Wild Moment', 2015)",actor
Jean-Francois Richet,"('One Wild Moment', 2015)",director
Julian Sands,"('Warlock', 1989)",actor
Lori Singer,"('Warlock', 1989)",actor
Richard E. Grant,"('Warlock', 1989)",actor
Mary Woronov,"('Warlock', 1989)",actor
Steve Miner,"('Warlock', 1989)",director
Uma Thurman,"('Prime', 2005)",actor
Meryl Streep,"('Prime', 2005)",actor
Bryan Greenberg,"('Prime', 2005)",actor
Jon Abrahams,"('Prime', 2005)",actor
Ben Younger,"('Prime', 2005)",director
Jamie Bell,"('6 Days', 2017)",actor
Mark Strong,"('6 Days', 2017)",actor
Abbie Cornish,"('6 Days', 2017)",actor
Martin Shaw,"('6 Days', 2017)",actor
Toa Fraser,"('6 Days', 2017)",director
Ryan Reynolds,"('The Nines', 2007)",actor
Hope Davis,"('The Nines', 2007)",actor
Melissa Mccarthy,"('The Nines', 2007)",actor
Elle Fanning,"('The Nines', 2007)",actor
John August,"('The Nines', 2007)",director
Tom Cruise,"('Lions for Lambs', 2007)",actor
Meryl Streep,"('Lions for Lambs', 2007)",actor
Robert Redford,"('Lions for Lambs', 2007)",actor
Michael Pena,"('Lions for Lambs', 2007)",actor
Robert Redford,"('Lions for Lambs', 2007)",director
James Gandolfini,"('Romance & Cigarettes', 2005)",actor
Susan Sarandon,"('Romance & Cigarettes', 2005)",actor
Kate Winslet,"('Romance & Cigarettes', 2005)",actor
Steve Buscemi,"('Romance & Cigarettes', 2005)",actor
John Turturro,"('Romance & Cigarettes', 2005)",director
Oakes Fegley,"('Wonderstruck', 2017)",actor
Julianne Moore,"('Wonderstruck', 2017)",actor
Michelle Williams,"('Wonderstruck', 2017)",actor
Millicent Simmonds,"('Wonderstruck', 2017)",actor
Todd Haynes,"('Wonderstruck', 2017)",director
Ruby Stokes,"('Una', 2016)",actor
Rooney Mara,"('Una', 2016)",actor
Riz Ahmed,"('Una', 2016)",actor
Ben Mendelsohn,"('Una', 2016)",actor
Benedict Andrews,"('Una', 2016)",director
Rose Byrne,"('Peter Rabbit 2: The Runaway', 2021)",actor
Domhnall Gleeson,"('Peter Rabbit 2: The Runaway', 2021)",actor
David Oyelowo,"('Peter Rabbit 2: The Runaway', 2021)",actor
James Corden,"('Peter Rabbit 2: The Runaway', 2021)",actor
Will Gluck,"('Peter Rabbit 2: The Runaway', 2021)",director
Carlos Acosta,"('Our Kind of Traitor', 2016)",actor
Radivoje Bukvic,"('Our Kind of Traitor', 2016)",actor
Stellan Skarsgard,"('Our Kind of Traitor', 2016)",actor
Mariya Fomina,"('Our Kind of Traitor', 2016)",actor
Susanna White,"('Our Kind of Traitor', 2016)",director
Rutger Hauer,"('Surviving the Game', 1994)",actor
Ice-T,"('Surviving the Game', 1994)",actor
Charles S. Dutton,"('Surviving the Game', 1994)",actor
Gary Busey,"('Surviving the Game', 1994)",actor
Ernest R. Dickerson,"('Surviving the Game', 1994)",director
Joaquin Phoenix,"(""I'm Still Here"", 2010)",actor
Antony Langdon,"(""I'm Still Here"", 2010)",actor
Carey Perloff,"(""I'm Still Here"", 2010)",actor
Larry Mchale,"(""I'm Still Here"", 2010)",actor
Casey Affleck,"(""I'm Still Here"", 2010)",director
Chevy Chase,"('Funny Farm', 1988)",actor
Madolyn Smith Osborne,"('Funny Farm', 1988)",actor
Kevin O'Morrison,"('Funny Farm', 1988)",actor
Joseph Maher,"('Funny Farm', 1988)",actor
George Roy Hill,"('Funny Farm', 1988)",director
Sidse Babett Knudsen,"('In Fabric', 2018)",actor
Marianne Jean-Baptiste,"('In Fabric', 2018)",actor
Julian Barratt,"('In Fabric', 2018)",actor
Steve Oram,"('In Fabric', 2018)",actor
Peter Strickland,"('In Fabric', 2018)",director
Jesse Eisenberg,"('The Hummingbird Project', 2018)",actor
Alexander Skarsgard,"('The Hummingbird Project', 2018)",actor
Salma Hayek,"('The Hummingbird Project', 2018)",actor
Michael Mando,"('The Hummingbird Project', 2018)",actor
Kim Nguyen,"('The Hummingbird Project', 2018)",director
Lena Dunham,"('Tiny Furniture', 2010)",actor
Laurie Simmons,"('Tiny Furniture', 2010)",actor
Grace Dunham,"('Tiny Furniture', 2010)",actor
Rachel Howe,"('Tiny Furniture', 2010)",actor
Lena Dunham,"('Tiny Furniture', 2010)",director
Debbie Harry,"('Tales from the Darkside: The Movie', 1990)",actor
Matthew Lawrence,"('Tales from the Darkside: The Movie', 1990)",actor
Christian Slater,"('Tales from the Darkside: The Movie', 1990)",actor
David Forrester,"('Tales from the Darkside: The Movie', 1990)",actor
John Harrison,"('Tales from the Darkside: The Movie', 1990)",director
Anne Parillaud,"('Innocent Blood', 1992)",actor
Anthony Lapaglia,"('Innocent Blood', 1992)",actor
Robert Loggia,"('Innocent Blood', 1992)",actor
David Proval,"('Innocent Blood', 1992)",actor
John Landis,"('Innocent Blood', 1992)",director
Felicity Jones,"('Chalet Girl', 2011)",actor
Ed Westwick,"('Chalet Girl', 2011)",actor
Bill Nighy,"('Chalet Girl', 2011)",actor
Brooke Shields,"('Chalet Girl', 2011)",actor
Phil Traill,"('Chalet Girl', 2011)",director
Rachel Weisz,"('The Deep Blue Sea', 2011)",actor
Tom Hiddleston,"('The Deep Blue Sea', 2011)",actor
Ann Mitchell,"('The Deep Blue Sea', 2011)",actor
Jolyon Coy,"('The Deep Blue Sea', 2011)",actor
Terence Davies,"('The Deep Blue Sea', 2011)",director
Gemma Arterton,"('Tamara Drewe', 2010)",actor
Luke Evans,"('Tamara Drewe', 2010)",actor
Dominic Cooper,"('Tamara Drewe', 2010)",actor
Roger Allam,"('Tamara Drewe', 2010)",actor
Stephen Frears,"('Tamara Drewe', 2010)",director
Danny Devito,"('Renaissance Man', 1994)",actor
Gregory Hines,"('Renaissance Man', 1994)",actor
James Remar,"('Renaissance Man', 1994)",actor
Ed Begley Jr.,"('Renaissance Man', 1994)",actor
Penny Marshall,"('Renaissance Man', 1994)",director
Pierce Brosnan,"('After the Sunset', 2004)",actor
Salma Hayek,"('After the Sunset', 2004)",actor
Woody Harrelson,"('After the Sunset', 2004)",actor
Don Cheadle,"('After the Sunset', 2004)",actor
Brett Ratner,"('After the Sunset', 2004)",director
Abbie Cornish,"('W.E.', 2011)",actor
James D'Arcy,"('W.E.', 2011)",actor
Andrea Riseborough,"('W.E.', 2011)",actor
Oscar Isaac,"('W.E.', 2011)",actor
Madonna,"('W.E.', 2011)",director
John Ritter,"('Stay Tuned', 1992)",actor
Pam Dawber,"('Stay Tuned', 1992)",actor
Jeffrey Jones,"('Stay Tuned', 1992)",actor
David Tom,"('Stay Tuned', 1992)",actor
Peter Hyams,"('Stay Tuned', 1992)",director
Kika Magalhaes,"('The Eyes of My Mother', 2016)",actor
Will Brill,"('The Eyes of My Mother', 2016)",actor
Olivia Bond,"('The Eyes of My Mother', 2016)",actor
Paul Nazak,"('The Eyes of My Mother', 2016)",actor
Nicolas Pesce,"('The Eyes of My Mother', 2016)",director
Benedict Cumberbatch,"('The Fifth Estate', 2013)",actor
Daniel Bruhl,"('The Fifth Estate', 2013)",actor
Carice Van Houten,"('The Fifth Estate', 2013)",actor
Alicia Vikander,"('The Fifth Estate', 2013)",actor
Bill Condon,"('The Fifth Estate', 2013)",director
Nicole Kidman,"('The Portrait of a Lady', 1996)",actor
John Malkovich,"('The Portrait of a Lady', 1996)",actor
Barbara Hershey,"('The Portrait of a Lady', 1996)",actor
Martin Donovan,"('The Portrait of a Lady', 1996)",actor
Jane Campion,"('The Portrait of a Lady', 1996)",director
Federico Ielapi,"('Pinocchio', 2019)",actor
Roberto Benigni,"('Pinocchio', 2019)",actor
Rocco Papaleo,"('Pinocchio', 2019)",actor
Massimo Ceccherini,"('Pinocchio', 2019)",actor
Matteo Garrone,"('Pinocchio', 2019)",director
Paul Newman,"('Twilight', 1998)",actor
Susan Sarandon,"('Twilight', 1998)",actor
Gene Hackman,"('Twilight', 1998)",actor
Reese Witherspoon,"('Twilight', 1998)",actor
Robert Benton,"('Twilight', 1998)",director
Halle Berry,"('Bruised', 2020)",actor
Adan Canto,"('Bruised', 2020)",actor
Sheila Atim,"('Bruised', 2020)",actor
Adriane Lenox,"('Bruised', 2020)",actor
Halle Berry,"('Bruised', 2020)",director
Jackie Chan,"('Mr. Nice Guy', 1997)",actor
Richard Norton,"('Mr. Nice Guy', 1997)",actor
Miki Lee,"('Mr. Nice Guy', 1997)",actor
Karen Mclymont,"('Mr. Nice Guy', 1997)",actor
Sammo Kam-Bo Hung,"('Mr. Nice Guy', 1997)",director
Greta Gerwig,"(""Maggie's Plan"", 2015)",actor
Ethan Hawke,"(""Maggie's Plan"", 2015)",actor
Julianne Moore,"(""Maggie's Plan"", 2015)",actor
Maya Rudolph,"(""Maggie's Plan"", 2015)",actor
Rebecca Miller,"(""Maggie's Plan"", 2015)",director
Nick Nolte,"('Down and Out in Beverly Hills', 1986)",actor
Bette Midler,"('Down and Out in Beverly Hills', 1986)",actor
Richard Dreyfuss,"('Down and Out in Beverly Hills', 1986)",actor
Little Richard,"('Down and Out in Beverly Hills', 1986)",actor
Paul Mazursky,"('Down and Out in Beverly Hills', 1986)",director
Clif Prowse,"('Afflicted', 2013)",actor
Derek Lee,"('Afflicted', 2013)",actor
Michael Gill,"('Afflicted', 2013)",actor
Baya Rehaz,"('Afflicted', 2013)",actor
Derek Lee,"('Afflicted', 2013)",director
Clif Prowse,"('Afflicted', 2013)",director
Kristoffer Joner,"('The Quake', 2018)",actor
Ane Dahl Torp,"('The Quake', 2018)",actor
Edith Haagenrud-Sande,"('The Quake', 2018)",actor
Kathrine Thorborg Johansen,"('The Quake', 2018)",actor
John Andreas Andersen,"('The Quake', 2018)",director
Wagner Moura,"('Sergio', 2020)",actor
Ana De Armas,"('Sergio', 2020)",actor
Brian F. O'Byrne,"('Sergio', 2020)",actor
Bradley Whitford,"('Sergio', 2020)",actor
Greg Barker,"('Sergio', 2020)",director
Steve Martin,"('HouseSitter', 1992)",actor
Goldie Hawn,"('HouseSitter', 1992)",actor
Dana Delany,"('HouseSitter', 1992)",actor
Julie Harris,"('HouseSitter', 1992)",actor
Frank Oz,"('HouseSitter', 1992)",director
Alec Newman,"('A Lonely Place to Die', 2011)",actor
Ed Speleers,"('A Lonely Place to Die', 2011)",actor
Melissa George,"('A Lonely Place to Die', 2011)",actor
Kate Magowan,"('A Lonely Place to Die', 2011)",actor
Julian Gilbey,"('A Lonely Place to Die', 2011)",director
Madhavan,"('Dhokha', 2022)",actor
Khushali Kumar,"('Dhokha', 2022)",actor
Aparshakti Khurana,"('Dhokha', 2022)",actor
Darshan Kumaar,"('Dhokha', 2022)",actor
Kookie Gulati,"('Dhokha', 2022)",director
Melanie Griffith,"('Cecil B. Demented', 2000)",actor
Stephen Dorff,"('Cecil B. Demented', 2000)",actor
Alicia Witt,"('Cecil B. Demented', 2000)",actor
Adrian Grenier,"('Cecil B. Demented', 2000)",actor
John Waters,"('Cecil B. Demented', 2000)",director
Javier Gutierrez,"('Below Zero', 2021)",actor
Karra Elejalde,"('Below Zero', 2021)",actor
Luis Callejo,"('Below Zero', 2021)",actor
Andres Gertrudix,"('Below Zero', 2021)",actor
Lluis Quilez,"('Below Zero', 2021)",director
Bill Pullman,"('The Coldest Game', 2019)",actor
Lotte Verbeek,"('The Coldest Game', 2019)",actor
James Bloor,"('The Coldest Game', 2019)",actor
Robert Wieckiewicz,"('The Coldest Game', 2019)",actor
Lukasz Kosmicki,"('The Coldest Game', 2019)",director
Jang Dong-Gun,"(""The Warrior's Way"", 2010)",actor
Kate Bosworth,"(""The Warrior's Way"", 2010)",actor
Geoffrey Rush,"(""The Warrior's Way"", 2010)",actor
Danny Huston,"(""The Warrior's Way"", 2010)",actor
Sngmoo Lee,"(""The Warrior's Way"", 2010)",director
Michael J. Fox,"('For Love or Money', 1993)",actor
Gabrielle Anwar,"('For Love or Money', 1993)",actor
Anthony Higgins,"('For Love or Money', 1993)",actor
Michael Tucker,"('For Love or Money', 1993)",actor
Barry Sonnenfeld,"('For Love or Money', 1993)",director
Brendan Fletcher,"('Rampage', 2009)",actor
Shaun Sipos,"('Rampage', 2009)",actor
Michael Pare,"('Rampage', 2009)",actor
Matt Frewer,"('Rampage', 2009)",actor
Uwe Boll,"('Rampage', 2009)",director
Rebecca De Mornay,"(""Mother's Day"", 2010)",actor
Jaime King,"(""Mother's Day"", 2010)",actor
Shawn Ashmore,"(""Mother's Day"", 2010)",actor
Briana Evigan,"(""Mother's Day"", 2010)",actor
Darren Lynn Bousman,"(""Mother's Day"", 2010)",director
Michael Urie,"('Single All the Way', 2021)",actor
Philemon Chambers,"('Single All the Way', 2021)",actor
Luke Macfarlane,"('Single All the Way', 2021)",actor
Barry Bostwick,"('Single All the Way', 2021)",actor
Michael Mayer,"('Single All the Way', 2021)",director
Jason Beghe,"('Monkey Shines', 1988)",actor
John Pankow,"('Monkey Shines', 1988)",actor
Kate Mcneil,"('Monkey Shines', 1988)",actor
Joyce Van Patten,"('Monkey Shines', 1988)",actor
George A. Romero,"('Monkey Shines', 1988)",director
John Turturro,"('Fading Gigolo', 2013)",actor
Woody Allen,"('Fading Gigolo', 2013)",actor
Sharon Stone,"('Fading Gigolo', 2013)",actor
Sofia Vergara,"('Fading Gigolo', 2013)",actor
John Turturro,"('Fading Gigolo', 2013)",director
Reece Thompson,"('Assassination of a High School President', 2008)",actor
Mischa Barton,"('Assassination of a High School President', 2008)",actor
Bruce Willis,"('Assassination of a High School President', 2008)",actor
Michael Rapaport,"('Assassination of a High School President', 2008)",actor
Brett Simon,"('Assassination of a High School President', 2008)",director
Tony Jaa,"('Ong Bak 2', 2008)",actor
Sarunyu Wongkrachang,"('Ong Bak 2', 2008)",actor
Sorapong Chatree,"('Ong Bak 2', 2008)",actor
Primrata Dej-Udom,"('Ong Bak 2', 2008)",actor
Tony Jaa,"('Ong Bak 2', 2008)",director
Panna Rittikrai,"('Ong Bak 2', 2008)",director
Reese Witherspoon,"('Vanity Fair', 2004)",actor
Romola Garai,"('Vanity Fair', 2004)",actor
James Purefoy,"('Vanity Fair', 2004)",actor
Jonathan Rhys Meyers,"('Vanity Fair', 2004)",actor
Mira Nair,"('Vanity Fair', 2004)",director
Jennifer Garner,"('Butter', 2011)",actor
Yara Shahidi,"('Butter', 2011)",actor
Ty Burrell,"('Butter', 2011)",actor
Olivia Wilde,"('Butter', 2011)",actor
Jim Field Smith,"('Butter', 2011)",director
Robin Williams,"('Man of the Year', 2006)",actor
Laura Linney,"('Man of the Year', 2006)",actor
Lewis Black,"('Man of the Year', 2006)",actor
Christopher Walken,"('Man of the Year', 2006)",actor
Barry Levinson,"('Man of the Year', 2006)",director
Jessica Biel,"('Powder Blue', 2009)",actor
Eddie Redmayne,"('Powder Blue', 2009)",actor
Forest Whitaker,"('Powder Blue', 2009)",actor
Ray Liotta,"('Powder Blue', 2009)",actor
Timothy Linh Bui,"('Powder Blue', 2009)",director
Kal Penn,"('A Very Harold & Kumar Christmas', 2011)",actor
John Cho,"('A Very Harold & Kumar Christmas', 2011)",actor
Neil Patrick Harris,"('A Very Harold & Kumar Christmas', 2011)",actor
Patton Oswalt,"('A Very Harold & Kumar Christmas', 2011)",actor
Todd Strauss-Schulson,"('A Very Harold & Kumar Christmas', 2011)",director
Robert De Niro,"('Mad Dog and Glory', 1993)",actor
Uma Thurman,"('Mad Dog and Glory', 1993)",actor
Bill Murray,"('Mad Dog and Glory', 1993)",actor
David Caruso,"('Mad Dog and Glory', 1993)",actor
John Mcnaughton,"('Mad Dog and Glory', 1993)",director
Julian Barratt,"('A Field in England', 2013)",actor
Peter Ferdinando,"('A Field in England', 2013)",actor
Richard Glover,"('A Field in England', 2013)",actor
Ryan Pope,"('A Field in England', 2013)",actor
Ben Wheatley,"('A Field in England', 2013)",director
Richard Gere,"('Sommersby', 1993)",actor
Jodie Foster,"('Sommersby', 1993)",actor
Lanny Flaherty,"('Sommersby', 1993)",actor
Wendell Wellman,"('Sommersby', 1993)",actor
Jon Amiel,"('Sommersby', 1993)",director
Shirley Maclaine,"('Guarding Tess', 1994)",actor
Nicolas Cage,"('Guarding Tess', 1994)",actor
Austin Pendleton,"('Guarding Tess', 1994)",actor
Edward Albert,"('Guarding Tess', 1994)",actor
Hugh Wilson,"('Guarding Tess', 1994)",director
Al Pacino,"('City Hall', 1996)",actor
John Cusack,"('City Hall', 1996)",actor
Bridget Fonda,"('City Hall', 1996)",actor
Danny Aiello,"('City Hall', 1996)",actor
Harold Becker,"('City Hall', 1996)",director
Nick Nolte,"('Three Fugitives', 1989)",actor
Martin Short,"('Three Fugitives', 1989)",actor
Sarah Rowland Doroff,"('Three Fugitives', 1989)",actor
James Earl Jones,"('Three Fugitives', 1989)",actor
Francis Veber,"('Three Fugitives', 1989)",director
Dudley Moore,"('Santa Claus: The Movie', 1985)",actor
John Lithgow,"('Santa Claus: The Movie', 1985)",actor
David Huddleston,"('Santa Claus: The Movie', 1985)",actor
Burgess Meredith,"('Santa Claus: The Movie', 1985)",actor
Jeannot Szwarc,"('Santa Claus: The Movie', 1985)",director
Adrien Brody,"('Manhattan Night', 2016)",actor
Yvonne Strahovski,"('Manhattan Night', 2016)",actor
Campbell Scott,"('Manhattan Night', 2016)",actor
Jennifer Beals,"('Manhattan Night', 2016)",actor
Brian Decubellis,"('Manhattan Night', 2016)",director
Alex Sharp,"('UFO', 2018)",actor
Gillian Anderson,"('UFO', 2018)",actor
Ella Purnell,"('UFO', 2018)",actor
Benjamin Beatty,"('UFO', 2018)",actor
